candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,region,region_label,year,price_usd_per_kw
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,row,ROW,2040,243.3803189
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,ch,China,2025,163.324
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,af,Africa,2025,310.8978171
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,eu,EU,2025,310.921442
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,us,US,2025,288.8477404
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,apac,APAC,2025,309.0264582
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,row,ROW,2025,325.7521036
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,ch,China,2030,107.7909238
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,af,Africa,2030,246.9195625
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,eu,EU,2030,220.913943
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,us,US,2030,219.7200926
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,apac,APAC,2030,195.4990727
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,row,ROW,2030,221.4098172
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,ch,China,2035,95.90883301
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,af,Africa,2035,221.3258296
ch-af-apac-eu-row-us/pf100_k100_a030,CH-pf100_k100_a030,ch-af-apac-eu-row-us,CH-first,pf100_k100_a030,clean_objective_stage2,1,1,0.3,4,0.9819254614,apac,one_start_only,eu,EU,2035,205.1761059
