scenario,branch,period,region,capacity_gw,clearing_price_usd_per_kw
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2025,ch,931.0,163.32400000005447
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2025,eu,22.0,288.040131549343
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2025,us,42.0,291.84016090077137
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2025,apac,110.0,248.22713424255107
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2025,af,3.4,304.61204108635883
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2025,row,293.0,346.0497741210419
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2030,ch,561.5012674702652,107.79092379883555
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2030,eu,27.342632121999895,242.16940963050908
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2030,us,30.455551647682103,217.64062914447186
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2030,apac,164.33924283860824,123.6420623743372
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2030,af,5.689912499008809,199.364280626967
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2030,row,46.60777393914981,225.45878146063868
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2035,ch,518.5371243572162,95.90883301570554
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2035,eu,27.794095699947366,209.1028007402407
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2035,us,30.220991946216778,210.69703768082056
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2035,apac,220.81239691444816,163.3325121768166
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2035,af,7.979824998625111,262.6883350552934
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2035,row,46.596035924032805,194.0684429423264
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2040,ch,524.067169628952,86.65125722760432
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2040,eu,27.77705879977069,177.17735732530028
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2040,us,30.2199966190877,185.44659457900977
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2040,apac,259.13638705320614,132.6209005207737
strategic_offers,ch-af-apac-eu-row-us/pf120_k050_a030,2040,af,10.26973749824189,195.64556353601813
