candidate,candidate_code,sequence,order,branch,origin,price_factor,capacity_weight,damping,selected_sweep,max_gain_percent,limiting_player,multistart_status,region,region_label,year,capacity_gw,price_usd_per_kw,demand_gw,domestic_output_gw,imports_gw,exports_gw,import_share
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,af,Africa,2040,10.89999998,542.9205287,28,10.89999997,17.10000003,7.646075297e-09,0.6107142867
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,eu,EU,2040,60.95245206,479.312254,99,60.95245205,38.04754795,3.120870762e-09,0.3843186661
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,us,US,2040,82.95523401,357.3726144,75,67.41995592,7.580044083,15.5352781,0.1010672544
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,apac,APAC,2040,147.6550146,99.41154578,126,126,2.653989609e-09,5.070853935e-09,2.10634096e-11
ch-af-apac-eu-row-us/pf080_k100_a040,CH-pf080_k100_a040,ch-af-apac-eu-row-us,CH-first,pf080_k100_a040,clean_objective_stage2,0.8,1,0.4,13,0.8920375905,row,one_start_only,row,ROW,2040,134.627592,314.5004285,89,88.99999999,5.637957144e-09,45.62759202,6.334783308e-11
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,ch,China,2025,931,163.324,324,324,2.226639739e-08,107.5999969,6.872344874e-11
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,af,Africa,2025,3.4,470.5061256,9.999999999,3.399999975,6.600000024,2.271130165e-08,0.6600000025
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,eu,EU,2025,22,432.2830679,75,15.40000101,59.59999899,6.599998986,0.7946666532
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,us,US,2025,42,306.8128556,45,3.798967538e-09,44.99999999,41.99999999,0.9999999999
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,apac,APAC,2025,110,187.5,50,49.99999998,2.118070546e-08,1.991792537e-06,4.236141092e-10
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,row,ROW,2025,293,329.5622043,45,3.518342066e-08,44.99999996,1.126665354e-06,0.9999999992
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,ch,China,2030,443.3162315,107.7909238,350,349.9999999,5.780910267e-08,43.85653122,1.651688648e-10
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,af,Africa,2030,5.895465037,306.1296632,14,5.895464947,8.104535051,8.224180519e-08,0.5788953609
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,eu,EU,2030,35.05928864,231.4480581,90,26.95475408,63.04524591,8.104534509,0.7005027324
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,us,US,2030,66.15702815,217.6804305,64.99999999,64.99999985,1.449930947e-07,1.157028057,2.230662996e-09
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,apac,APAC,2030,173.0316868,165.0314417,85,84.99999988,1.127770848e-07,88.03168683,1.326789233e-09
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,row,ROW,2030,107.7937733,219.8495284,70,1.280609078e-07,69.99999987,4.528546952e-07,0.9999999982
ch-af-apac-eu-row-us/pf100_k050_a040,CH-pf100_k050_a040,ch-af-apac-eu-row-us,CH-first,pf100_k050_a040,clean_objective_stage2,1,0.5,0.4,11,0.5501195224,us,one_start_only,ch,China,2035,381.7305247,95.90883302,333,333,1.306499239e-08,27.37241608,3.923421138e-11
