sequence,order_label,sweep,movement_percent,raw_best_response_move_percent,all_solves_acceptable,stable_count,final_status,solve_quality
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,13,45.57562963,158.870633,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,14,11.08683453,49.33059627,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,15,22.298964,109.7701673,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,16,23.91731443,65.86210021,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,17,20.67315028,39.51726012,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,18,16.19754715,23.71035611,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,19,11.99472247,14.22621363,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,20,8.562549997,11.40286952,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,21,5.95695991,10.29366583,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,22,4.065833894,9.794726701,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,23,3.758963402,9.397408506,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,24,2.281154823,5.702887056,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,25,1.954990975,4.887477437,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,26,1.912017171,4.780042927,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,27,1.883620109,4.709050272,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,28,1.866622832,4.66655708,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,29,1.856604909,4.641512274,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,30,1.850777272,4.62694318,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,31,58.6096114,147.0278554,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,32,35.28668548,88.2167137,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,33,24.14464261,131.0658356,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,34,19.93215206,49.83038014,True,0,not_converged,no_saved_solve_failure_flag
ch-row-apac-us-eu-af,CH–ROW–APAC–US–EU–AF,35,17.61912836,44.0478209,True,0,not_converged,no_saved_solve_failure_flag
